SG,Wt_total,Total_pts,CTGL_1,CTGL_2,Essay,BB_exam_us,BB_exam_ims,student_key,Combined_Scores
07B,90.56986,367.22957,93.993,92.9925,88.24407,92.0,,313,92.0
07C,91.25796,363.09417,96.4,92.9975,93.69667,80.0,,314,80.0
07A,86.17118,343.33887,91.995,94.0,89.34387,,68.0,315,68.0
07D,96.99372,381.2915,90.6955,94.596,100.0,96.0,,316,96.0
07B,98.38258,393.19167,96.995,97.9,98.29667,100.0,,317,100.0
07C,90.95379,360.59637,94.0,92.69825,93.89812,80.0,,318,80.0
07D,97.23578,389.28083,96.29233,96.29233,96.69617,100.0,,319,100.0
07D,93.30957,366.18209,90.49417,90.59575,97.09217,88.0,,320,88.0
07D,95.89681,379.53733,91.0945,91.3965,97.04633,100.0,,321,100.0
07C,96.0539,384.19617,94.0,94.69767,95.4985,100.0,,322,100.0
07C,95.02832,375.94542,94.0,92.69825,97.24717,92.0,,323,92.0
07B,88.06896,354.72567,96.99,92.9925,88.74317,76.0,,324,76.0
07D,92.07487,374.83064,92.1945,94.4925,88.14364,100.0,,325,100.0
07B,96.54723,389.93886,97.592,97.9,94.44686,100.0,,326,100.0
07B,93.80715,384.038,96.993,97.898,89.147,100.0,,327,100.0
07C,92.65333,372.59503,94.0,94.69767,91.89736,92.0,,328,92.0
07A,91.89633,365.19034,99.0,94.99667,95.19367,76.0,,329,76.0
07D,90.91997,358.58714,90.399,90.097,94.09114,,84.0,330,84.0
07B,91.96803,372.12381,96.99,92.9925,90.14131,92.0,,331,92.0
07B,92.90465,379.77618,96.99,94.39125,88.39493,100.0,,332,100.0
07B,89.20591,360.33167,94.893,92.9925,88.44617,84.0,,333,84.0
07C,92.30407,370.49692,94.0,92.69825,91.79867,92.0,,334,92.0
07B,93.42525,380.3835,96.692,97.498,90.1935,96.0,,335,96.0
07A,96.84833,385.392,99.0,95.99333,98.39867,92.0,,336,92.0
07A,91.47003,367.73074,95.99333,95.99333,91.74408,84.0,,337,84.0
07D,94.2768,374.388,91.197,91.995,95.196,96.0,,338,96.0
07A,94.47458,376.57891,93.192,95.99333,95.39358,92.0,,339,92.0
07D,92.70649,370.03442,92.1945,92.69325,93.14667,,92.0,340,92.0
07D,91.22566,371.03485,92.1945,91.49625,87.3441,100.0,,341,100.0
07B,92.18905,375.479,94.893,92.394,88.192,100.0,,342,100.0
07B,97.00144,385.43133,96.99,94.1935,98.24783,96.0,,343,96.0
07C,91.5291,361.74698,94.0,92.69825,95.04873,,80.0,344,80.0
07C,90.80407,367.49692,94.0,92.69825,88.79867,92.0,,345,92.0
07C,92.50367,374.69572,94.0,94.69767,89.99805,96.0,,346,96.0
07B,94.9955,380.57875,96.99,92.9925,94.59625,96.0,,347,96.0
07C,94.20365,375.69567,94.0,94.69767,94.998,92.0,,348,92.0
07C,92.19791,372.89408,94.0,92.9975,89.89658,96.0,,349,96.0
07D,98.67383,394.89534,100.0,96.49667,98.39867,100.0,,350,100.0
07C,96.55443,384.14887,94.0,93.2,96.94887,,100.0,351,100.0
07D,95.39761,383.14085,100.0,92.49375,94.6471,96.0,,352,96.0
07A,94.0465,372.186,96.99,94.0,97.196,84.0,,353,84.0
07A,92.22069,375.33555,94.99667,91.995,88.34388,,100.0,354,100.0
08A,82.49762,326.59525,88.0,88.0,86.59525,64.0,,355,64.0
08A,97.0,385.0,97.0,97.0,99.0,92.0,,356,92.0
08B,94.87187,382.09375,97.0,95.5,93.59375,96.0,,357,96.0
08B,94.42154,375.75508,95.0,93.16,95.59508,92.0,,358,92.0
08C,95.96249,381.5395,94.299,94.29317,96.94733,96.0,,359,96.0
08D,82.66962,326.33575,90.9975,90.9975,88.34075,56.0,,360,56.0
08C,91.41506,367.08273,95.29567,92.49375,91.29331,88.0,,361,88.0
08A,92.5,361.0,88.0,88.0,97.0,88.0,,362,88.0
08D,87.32044,340.43738,90.9975,90.9975,94.44238,64.0,,363,64.0
08D,94.572,376.044,97.0,98.0,97.044,84.0,,364,84.0
08C,90.80646,365.08733,88.196,88.196,88.69533,,100.0,365,100.0
08D,95.31962,381.53342,91.995,94.99667,94.54175,100.0,,366,100.0
08D,90.11981,358.73438,91.995,90.9975,91.74188,84.0,,367,84.0
08B,96.29666,385.99333,97.0,97.0,95.99333,96.0,,368,96.0
08A,95.5,377.0,90.0,90.0,97.0,100.0,,369,100.0
